idx,rot_sign,SMILES,point_group,is_point_group_chiral,point_group_noH,is_point_group_noH_chiral
000141,1,C[C@@]1(O)CCc2ccccc2C1=O,C1,True,C1,True
000142,1,C#C/C=C/C[C@@H](OC(C)=O)[C@H]1C/C=C\C[C@H](Br)[C@@H](CC)O1,C1,True,C1,True
000144,1,C[C@H](O)CCCCC/C=C/C(=O)O,C1,True,C1,True
000145,1,CCCCCC[C@H](C)S,C1,True,C1,True
000146,1,C[C@H]1C[C@@H](O)CCN1,C1,True,C1,True
000147,1,C[C@H](O)COCCOCCOC[C@H](C)O,C1,True,C1,True
000148,1,Cc1ccc([S@](=O)C2=CCCC2=O)cc1,C1,True,C1,True
000149,1,COC(=O)C[C@@H](NC(=O)OC(C)(C)C)C(=O)OC,C1,True,C1,True
000150,1,CCCCCCCCCCCC[C@@H](O)[C@@H]1CCC(=O)O1,C1,True,C1,True
000151,1,CC(=O)O[C@@H](C#N)c1cccc2ccccc12,C1,True,C1,True
000152,1,C[C@@H](CCBr)OC1CCCCO1,C1,True,C1,True
000153,1,C/C=C/C(=O)[C@H]1C(C)=CCCC1(C)C,C1,True,C1,True
000154,1,CCCCC#C[C@H](O)c1ccccc1,C1,True,C1,True
000155,1,COC(=O)[C@@H](C)Oc1ccccc1,C1,True,C1,True
000156,1,CN[C@@H](c1cccc(C(F)(F)F)c1)[C@@H](NC)c1cccc(C(F)(F)F)c1,C1,True,C1,True
000157,1,CC1=C[C@@H]2CC[C@H]3C(C)(C)CCC[C@]3(C)[C@@]23CC[C@@H]1C3,C1,True,C1,True
000158,1,CCOC(=O)C[C@@H](SP(=S)(OC)OC)C(=O)OCC,C1,True,C1,True
000159,1,N[C@H](COCCOCCOC[C@@H](N)c1ccccc1)c1ccccc1,C1,True,C1,True
000160,1,CC(C)(C)S(=O)(=O)C[C@@H](Cc1ccccc1)C(=O)O,C1,True,C1,True
000161,1,C[C@@H](Nc1ccc2ccccc2c1)C(=O)O,C1,True,C1,True
000162,1,COC(=O)[C@@H](OS(C)(=O)=O)c1ccccc1,C1,True,C1,True
000163,1,CCCC[C@@H](NC(=O)OCc1ccccc1)C(=O)O,C1,True,C1,True
000164,1,C[C@@H]1COc2c(F)c(F)cc3c(=O)c(C(=O)O)cn1c23,C1,True,C1,True
000165,1,COc1cc([C@H]2OC[C@@H]3[C@@H](c4ccc(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)c(OC)c4)OC[C@]23O)ccc1O,C1,True,C1,True
000166,1,CC1(C)[C@H]2Cc3nc(-c4ccccn4)ccc3[C@@H]1C2,C1,True,C1,True
000167,1,CCOC(C)O[C@@H](C(=O)O)[C@@H](NC(=O)OC(C)(C)C)c1ccccc1,C1,True,C1,True
000168,1,O=C(OCc1ccccc1)[C@@H](Cc1ccccc1)OS(=O)(=O)C(F)(F)F,C1,True,C1,True
000169,1,O=C1C[C@@H]2O[C@@H](c3ccccc3)[C@@H](O)[C@H](O1)[C@H]2O,C1,True,C1,True
000171,1,OC[C@@H](O)[C@@H]1OC(O)[C@@H](O)[C@H]1O,C1,True,C1,True
000172,1,N[C@H](C(=O)O)c1cccc(Cl)c1,C1,True,C1,True
000174,1,S=C1N[C@H](c2ccccc2)[C@@H](c2ccccc2)N1,C2,True,C2,True
000175,1,C[C@@H](N)CC(N)=O,C1,True,C1,True
000176,1,CCCC(=O)CC[C@@H]1[C@@H](C)CCCC1(C)C,C1,True,C1,True
000178,1,O=C1C[C@@H](C(=O)O)Oc2ccc(F)cc21,C1,True,C1,True
000180,1,N[C@@H](Cc1c(O)noc1-c1ccccc1)C(=O)O,C1,True,C1,True
000181,1,O=C1C=CC[C@H]([C@@H]2O[C@H]2c2ccccc2)O1,C1,True,C1,True
000182,1,C=C/C(C)=C/[C@]1(C)SC(=O)C(C)=C1O,C1,True,C1,True
000183,1,C=C(C)[C@H]1CC[C@@](C)(O)[C@H](N(C)C)C1,C1,True,C1,True
000185,1,C[C@H]1CCOc2ccc(Cl)cc21,C1,True,C1,True
000186,1,O[C@H]1C2CCN(CC2)[C@H]1C(c1ccccc1)c1ccccc1,C1,True,C1,True
000187,1,C[S@](=O)C1CCCCC1,C1,True,C1,True
000188,1,CCCCCCCCC[C@H]1C[C@@H](O)C[C@@H](C)N1,C1,True,C1,True
000189,1,CC1=C[C@H]2OC(=O)[C@H](C)[C@H]2CC1,C1,True,C1,True
000190,1,O=C1CC=C[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,C1,True,C1,True
000191,1,O=C1CCC[C@@H](C[N+](=O)[O-])C1,C1,True,C1,True
000192,1,C=C(CO)[C@@H](C)CCC=C(C)C,C1,True,C1,True
000193,1,CC1=C2CC[C@H](O[Si](C)(C)C(C)(C)C)[C@@]2(C)CCC1=O,C1,True,C1,True
000194,1,CCc1cc(Cl)c(OC)c(C(=O)NC[C@H]2CCCN2CC)c1O,C1,True,C1,True
000196,1,Oc1ccc([C@H]2c3c(O)cc(O)cc3[C@@H]3c4c(cc(O)cc4[C@H]2O)O[C@H]3c2ccc(O)cc2)cc1,C1,True,C1,True
000197,1,N#C[C@H](O)c1cccc(Cl)c1,C1,True,C1,True
000198,1,CN1C(=N[C@@H](CO)Cc2ccccc2)N(C)[C@@H](c2ccccc2)[C@@H]1c1ccccc1,C1,True,C1,True
000199,1,C=C[C@H](CCCC)c1ccccc1,C1,True,C1,True
000200,1,COC(=O)[C@H](Oc1ccccc1)C(C)C,C1,True,C1,True
000201,1,CCOC(=O)[C@@H](C)Oc1ccc(Cl)cc1C,C1,True,C1,True
000202,1,C=C[C@@H]1CSC(C[C@@H](C)[C@@H](C)C[C@H](C)CCN(C)C(=O)[C@H](C)CC)=N1,C1,True,C1,True
000205,1,CC1(C)[C@H]2CC[C@](C)(O)[C@]1(O)C2,C1,True,C1,True
000206,1,O[C@H](c1ccc(Br)cc1)[C@H](O)c1ccc(Br)cc1,C1,True,C1,True
000207,1,COC(=O)CNC(=O)CCC/C=C\NC(=O)/C=C(C)/C=C/[C@H](C)[C@H](OC)[C@H](C)[C@H](/C=C/c1ccccc1)OC,C1,True,C1,True
000208,1,C[C@H](N=C=O)C1CCCCC1,C1,True,C1,True
000209,1,CCOC(=O)[C@@H](N)CCC1CCCCC1,C1,True,C1,True
000210,1,COc1cc(C[C@H]2CO[C@H](c3cc(OC)c(O)c(OC)c3)[C@H]2CO)ccc1O,C1,True,C1,True
000211,1,C=CCOC[C@@H](O)CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C,C1,True,C1,True
000212,1,CCOC(=O)[C@@]1(F)[C@@H]2CC=C(C(=O)OCc3ccccc3)[C@@H]21,C1,True,C1,True
000213,1,CCOC(=O)[C@@]1(F)[C@@H]2C[C@H]3OS(=O)(=O)O[C@@]3(C(=O)OCc3ccccc3)[C@@H]21,C1,True,C1,True
000214,1,O=S1(=O)CC[C@@H](COCc2ccccc2)N1,C1,True,C1,True
000215,1,O=C1NC[C@@H](C(F)(F)F)N1,C1,True,C1,True
000216,1,CN1CCCC[C@@H]1Cn1cc(C(=O)c2cc([N+](=O)[O-])ccc2I)c2ccccc21,C1,True,C1,True
000217,1,CN(CC(=O)c1ccccc1)C(=O)[C@H]1O[C@@H]1c1ccccc1,C1,True,C1,True
000218,1,CC[Si](CC)(CC)O[C@H]1C(=O)N(C(=O)c2ccc(C(C)(C)C)cc2)[C@H]1c1ccccc1,C1,True,C1,True
000220,1,C[C@H]1SC(N)=N[C@@H]1Cc1ccccc1,C1,True,C1,True
000222,1,NC1=N[C@H](Cc2cccnc2)CS1,C1,True,C1,True
000223,1,NC1=N[C@H](Cc2cccc([N+](=O)[O-])c2)CS1,C1,True,C1,True
000224,1,C[C@@H]1SC(N)=N[C@@H]1Cc1ccccc1,C1,True,C1,True
000225,1,CC(C)(C)c1cc(C(C)(C)C)c2c(c1)[C@@](O)(C(F)(F)F)C(=O)O2,C1,True,C1,True
000226,1,CN[C@@H]1CCc2[nH]c3ccc(C#N)cc3c2C1,C1,True,C1,True
000227,1,CCCN(CCC)[C@H]1Cc2c[nH]c3ccc(C(C)=O)c(c23)C1,C1,True,C1,True
000228,1,COc1ccc2c(c1)OC[C@H](c1ccc(C(F)(F)F)cc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1,C1,True,C1,True
