id,SMILES,canon_SMILES,specific_rotation,specific_rotation_computed,weights,weights_signed,specific_rotation_computed_abs,triple_product,if_computed_rotation_positive,if_triple_positive
2802804,[H][C@@](CO)(CC1=CC=CC=C1)N(C)C,CN(C)[C@H](CO)Cc1ccccc1,-17,36.19,179.263,179.263,36.19,20.6003611619772,1.0,1.0
2937193,[H][C@]1(CC(C)=O)[C@@]([H])(CC(=O)OC)C1(C)C,COC(=O)C[C@@H]1[C@H](CC(C)=O)C1(C)C,-21.7,110.44,198.262,198.262,110.44,41.6409665321234,1.0,1.0
2976336,COC(=O)[C@](C)(N)CC1=CC=C2C=CC=CC2=C1,COC(=O)[C@](C)(N)Cc1ccc2ccccc2c1,-30.3,-317.83,243.306,-243.306,317.83,-46.2225802388972,-1.0,1.0
3118129,O[C@@H]1CCCC[C@H]1NC1=CC=CC=C1,O[C@@H]1CCCC[C@H]1Nc1ccccc1,-72.7,-260.18,191.274,-191.274,260.18,-30.1706696057783,-1.0,1.0
3126377,CC1(C)[C@@H](CC(O)=O)CCC1=C,C=C1CC[C@H](CC(=O)O)C1(C)C,1.69,64.99,168.236,168.236,64.99,18.0300242601473,1.0,1.0
3126390,[H][C@](C)(CCCC(C)C)C1=CC=C(C)C=C1,Cc1ccc([C@@H](C)CCCC(C)C)cc1,25.2,26.75,204.357,204.357,26.75,-55.6118889518702,1.0,1.0
3126437,CC1(C)[C@@H]2CC[C@@]1(C)[C@@](O)(CC#C)C2,C#CC[C@@]1(O)C[C@H]2CC[C@]1(C)C2(C)C,-3.6,7.98,192.302,192.302,7.98,-35.7440893153073,1.0,1.0
3138117,[H][C@@](CO)(CC1=CC=CC=C1)NCC1=CC=CC=C1,OC[C@H](Cc1ccccc1)NCc1ccccc1,-23.8,-233.86,241.334,-241.334,233.86,38.6784908266273,-1.0,1.0
3193875,[H][C@](C)(O)C1CCCCC1,C[C@@H](O)C1CCCCC1,-2.7,-54.69,128.215,-128.215,54.69,-13.0305341184683,-1.0,1.0
3195575,[H][C@](O)(CC=C)C1=CC=CC=C1,C=CC[C@H](O)c1ccccc1,-17.1,-118.31,148.205,-148.205,118.31,30.365536165724,-1.0,1.0
3195628,[H][C@@](C)(Br)CC1=CC=CC=C1,C[C@H](Br)Cc1ccccc1,16.3,6.73,199.091,199.091,6.73,-20.7719465987789,1.0,1.0
3196267,CC1(C)[C@@H]2CC[C@@]1(C)[C@@](O)(CC=C)C2,C=CC[C@@]1(O)C[C@H]2CC[C@]1(C)C2(C)C,9.6,85.53,194.318,194.318,85.53,-35.243811929902,1.0,1.0
3196449,OC(=O)[C@@H]1C[C@H]2C[C@@H]1C=C2,O=C(O)[C@@H]1C[C@@H]2C=C[C@H]1C2,134,123.84,138.166,138.166,123.84,-15.881032461386,1.0,1.0
3196464,[H][C@@](C)(O)C1=C(OC)C=CC=C1,COc1ccccc1[C@H](C)O,-14.1,-139.43,152.193,-152.193,139.43,14.2419218420262,-1.0,1.0
3196954,[H][C@@](O)(CC)CCC1=CC=CC=C1,CC[C@@H](O)CCc1ccccc1,-23.45,-133.65,164.248,-164.248,133.65,-34.8517224348516,-1.0,1.0
