id,SMILES,canon_SMILES,specific_rotation,specific_rotation_computed
35419059,OC[C@H](C=C)N1C=CC(=O)C=C1,C=C[C@@H](CO)n1ccc(=O)cc1,-17.36,-204.48
35419082,CC1=CC=CN([C@H](CO)C=C)C1=O,C=C[C@@H](CO)n1cccc(C)c1=O,-38.54,79.4
35419085,CC1=CC(=O)N(C=C1)[C@H](CO)C=C,C=C[C@@H](CO)n1ccc(C)cc1=O,-13.9,-545.34
35419089,CC1=CN([C@H](CO)C=C)C(=O)C=C1,C=C[C@@H](CO)n1cc(C)ccc1=O,-14.11,-542.76
35431628,C=C[C@@H]1CC(C(=C)C2=CC=CC=C2)=N(=O)O1,C=C[C@@H]1CC(C(=C)c2ccccc2)=[N+]([O-])O1,23.3,331.01
35431629,C=C[C@@H]1CC(C2=CCCCC2)=N(=O)O1,C=C[C@@H]1CC(C2=CCCCC2)=[N+]([O-])O1,29.96,302.99
35431630,CC(=C)[C@@H]1CC(C2=CC=CC=C2)=N(=O)O1,C=C(C)[C@@H]1CC(c2ccccc2)=[N+]([O-])O1,34.56,221.77
35431632,CCCC[C@@]1(CC(C2=CC=CC=C2)=N(=O)O1)C=C,C=C[C@@]1(CCCC)CC(c2ccccc2)=[N+]([O-])O1,-7.49,93.88
35431728,C=C[C@@H]1CC(C2=CC=CC=C2)=N(=O)O1,C=C[C@@H]1CC(c2ccccc2)=[N+]([O-])O1,35.78,36.81
35431729,CC1=C(C=CC=C1)C1=N(=O)O[C@@H](C1)C=C,C=C[C@@H]1CC(c2ccccc2C)=[N+]([O-])O1,19.97,-64.86
35431730,CC1=CC=CC(=C1)C1=N(=O)O[C@@H](C1)C=C,C=C[C@@H]1CC(c2cccc(C)c2)=[N+]([O-])O1,34.39,-70.12
35431731,CC1=CC=C(C=C1)C1=N(=O)O[C@@H](C1)C=C,C=C[C@@H]1CC(c2ccc(C)cc2)=[N+]([O-])O1,29.96,1.44
35431732,COC1=CC=CC(=C1)C1=N(=O)O[C@@H](C1)C=C,C=C[C@@H]1CC(c2cccc(OC)c2)=[N+]([O-])O1,26.11,156.21
35431735,FC1=CC=C(C=C1)C1=N(=O)O[C@@H](C1)C=C,C=C[C@@H]1CC(c2ccc(F)cc2)=[N+]([O-])O1,30.67,44.38
35431736,ClC1=CC=CC(=C1)C1=N(=O)O[C@@H](C1)C=C,C=C[C@@H]1CC(c2cccc(Cl)c2)=[N+]([O-])O1,35.78,183.79
35431738,COC(=O)C1=CC=C(C=C1)C1=N(=O)O[C@@H](C1)C=C,C=C[C@@H]1CC(c2ccc(C(=O)OC)cc2)=[N+]([O-])O1,71.33,103.17
35431742,C=C[C@@H]1CC(C2=CC=CC3=CC=CC=C23)=N(=O)O1,C=C[C@@H]1CC(c2cccc3ccccc23)=[N+]([O-])O1,22.19,372.77
35431743,C=C[C@@H]1CC(C2=CC3=CC=CC=C3C=C2)=N(=O)O1,C=C[C@@H]1CC(c2ccc3ccccc3c2)=[N+]([O-])O1,39.03,224.78
35525366,C[C@@H]1CC2=C(C)C=CC=C2N[C@@H]1C1=CC=CC=C1,Cc1cccc2c1C[C@@H](C)[C@@H](c1ccccc1)N2,33.5,-304.49
35525367,C[C@@H]1CC2=CC(C)=CC=C2N[C@@H]1C1=CC=CC=C1,Cc1ccc2c(c1)C[C@@H](C)[C@@H](c1ccccc1)N2,19.2,-227.95
35525369,C[C@@H]1CC2=CC=CC(C)=C2N[C@@H]1C1=CC=CC=C1,Cc1cccc2c1N[C@H](c1ccccc1)[C@H](C)C2,-22.9,-357.93
35525370,COC1=CC=C2N[C@@H]([C@H](C)CC2=C1)C1=CC=CC=C1,COc1ccc2c(c1)C[C@@H](C)[C@@H](c1ccccc1)N2,4.2,-192.33
35525371,C[C@@H]1CC2=CC(F)=CC=C2N[C@@H]1C1=CC=CC=C1,C[C@@H]1Cc2cc(F)ccc2N[C@@H]1c1ccccc1,-5.9,-231.12
35525375,CC(C)[C@@H]1CC2=CC=CC=C2N[C@@H]1C1=CC=CC=C1,CC(C)[C@@H]1Cc2ccccc2N[C@@H]1c1ccccc1,118.4,-341.55
35525377,C[C@@H]1CC2=CC=CC=C2N[C@@H]1C1=C(F)C=CC=C1,C[C@@H]1Cc2ccccc2N[C@@H]1c1ccccc1F,38.2,-229.95
35525383,C[C@@H]1CC2=CC=CC=C2N[C@@H]1C1=CC(F)=CC=C1,C[C@@H]1Cc2ccccc2N[C@@H]1c1cccc(F)c1,17.8,-233.53
35525386,C[C@@H]1CC2=CC=CC=C2N[C@@H]1C1=CC=C(F)C=C1,C[C@@H]1Cc2ccccc2N[C@@H]1c1ccc(F)cc1,11.7,-232.71
35539407,CC[C@@H](O[Si](C)(C)C(C)(C)C)\C=C\CO,CC[C@H](/C=C/CO)O[Si](C)(C)C(C)(C)C,5.5,20.3
35599622,C[C@@](O)(C1=CC=CC=C1)C1=C(N)C=CC=C1,C[C@@](O)(c1ccccc1)c1ccccc1N,38.2,137.78
35599623,C[C@@]1(OC(=O)NC2=C1C=CC=C2)C1=CC=CC=C1,C[C@]1(c2ccccc2)OC(=O)Nc2ccccc21,34.1,-171.91
35622916,CCCC[C@@H](CC)COC(=O)C1=CNC=N1,CCCC[C@@H](CC)COC(=O)c1c[nH]cn1,-124.0,-8.28
35679524,C\C=C/C[C@@H](O)\C=C\C=C\C=C\C=C\C=C\C=O,C/C=C\C[C@@H](O)/C=C/C=C/C=C/C=C/C=C/C=O,-0.14,88.35
35762476,O[C@]1(COC2=C1C=CC=C2)C1=CC=CS1,O[C@@]1(c2cccs2)COc2ccccc21,-94.6,-31.93
35762477,C[C@]1(O)COC2=C1C=CC=C2,C[C@]1(O)COc2ccccc21,-62.4,-43.9
35762478,CC(C)(C)[C@]1(O)COC2=C1C=CC=C2,CC(C)(C)[C@]1(O)COc2ccccc21,-16.2,36.68
35762479,CC1(C)OC2=C(C=CC=C2)[C@]1(O)C1=CC=CC=C1,CC1(C)Oc2ccccc2[C@]1(O)c1ccccc1,-104.2,-380.42
35762481,O[C@]1(COC2=C1C=C(Cl)C=C2)C1=CC=CC=C1,O[C@@]1(c2ccccc2)COc2ccc(Cl)cc21,-43.6,-187.56
35762482,COC1=CC2=C(C=C1)[C@@](O)(CO2)C1=CC=CC=C1,COc1ccc2c(c1)OC[C@@]2(O)c1ccccc1,-93.3,-31.26
35762485,O[C@]1(COC2=CC=CC=C12)C1=CC=CC=C1,O[C@@]1(c2ccccc2)COc2ccccc21,-107.1,-115.15
35762494,O[C@]1(COC2=CC=CC=C12)C1=CC=C(F)C=C1,O[C@@]1(c2ccc(F)cc2)COc2ccccc21,-78.0,-107.39
35762504,O[C@]1(COC2=CC=CC=C12)C1=CC=C(Cl)C=C1,O[C@@]1(c2ccc(Cl)cc2)COc2ccccc21,-75.9,-103.78
35762512,CC1=CC=C(C=C1)[C@]1(O)COC2=CC=CC=C12,Cc1ccc([C@]2(O)COc3ccccc32)cc1,-127.3,-136.76
35762517,COC1=C(C=CC=C1)[C@]1(O)COC2=C1C=CC=C2,COc1ccccc1[C@]1(O)COc2ccccc21,-164.1,-8.09
35784119,COC[C@@]1(C)COC2=CC=CC(C=O)=C12,COC[C@@]1(C)COc2cccc(C=O)c21,36.12,-34.77
35784120,CC(=O)OC[C@]1(C)COC2=C1C(C=O)=CC=C2,CC(=O)OC[C@]1(C)COc2cccc(C=O)c21,104.58,88.19
35784122,C[C@@]1(CCl)COC2=CC=CC(C=O)=C12,C[C@@]1(CCl)COc2cccc(C=O)c21,33.5,-74.09
35784126,C[C@@]1(CC2=CC=CC=C2)COC2=CC=CC(C=O)=C12,C[C@@]1(Cc2ccccc2)COc2cccc(C=O)c21,29.7,153.36
35860975,COC1=CC(\C=C\C[C@H](N)C2=CC=CC=C2)=CC=C1,COc1cccc(/C=C/C[C@H](N)c2ccccc2)c1,-17.1,155.07
35860992,N[C@@H](C\C=C\C1=CC=CO1)C1=CC=CC=C1,N[C@@H](C/C=C/c1ccco1)c1ccccc1,-9.0,791.49
35860994,N[C@@H](C\C=C\C1=CC=CS1)C1=CC=CC=C1,N[C@@H](C/C=C/c1cccs1)c1ccccc1,-24.2,125.98
35861010,CC1=CC=C(\C=C\C[C@H](N)C2=CC=CC=C2)C=C1,Cc1ccc(/C=C/C[C@H](N)c2ccccc2)cc1,-23.6,330.11
35861015,CC1=CC(\C=C\C[C@H](N)C2=CC=CC=C2)=CC=C1,Cc1cccc(/C=C/C[C@H](N)c2ccccc2)c1,-20.1,368.32
35861018,COC1=CC=C(\C=C\C[C@H](N)C2=CC=CC=C2)C=C1,COc1ccc(/C=C/C[C@H](N)c2ccccc2)cc1,-15.4,567.7
35935403,COC1=C(OC)C=C(C=C1)[C@H](O)[C@H](N)C(O)=O,COc1ccc([C@H](O)[C@H](N)C(=O)O)cc1OC,-38.0,61.33
35938558,C[C@H]1CC2=C(O1)C=CC(=C2)C1=CC=CC=C1,C[C@H]1Cc2cc(-c3ccccc3)ccc2O1,14.6,-366.07
35973987,O[C@@H](CC1=CC=CC=C1)C(=O)NCC=C,C=CCNC(=O)[C@@H](O)Cc1ccccc1,-63.5,86.49
35973989,C=C[C@H](CC1=CC=CC=C1)NC(=O)C1=CC=CC=C1,C=C[C@H](Cc1ccccc1)NC(=O)c1ccccc1,31.8,101.7
35977930,COC(=O)CCC(=O)[C@@H](C)O,COC(=O)CCC(=O)[C@@H](C)O,-43.0,-34.4
35996346,CC(C)C[C@H](CO)SCC1=CC=CC=C1,CC(C)C[C@H](CO)SCc1ccccc1,51.3,-234.88
36076459,CCOC(=O)[C@](C)(N)[C@@H](C)\C=C\C1=CC=CC=C1,CCOC(=O)[C@](C)(N)[C@@H](C)/C=C/c1ccccc1,-32.8,-360.58
36150091,CC(=C)[C@]1(C)C[C@H](C=O)[C@H]1C1=C(C)C=CC=C1,C=C(C)[C@]1(C)C[C@H](C=O)[C@H]1c1ccccc1C,142.0,616.28
36150192,CC(=C)[C@]1(C)C[C@H](CO)[C@H]1C1=C(C)C=CC=C1,C=C(C)[C@]1(C)C[C@H](CO)[C@H]1c1ccccc1C,98.0,402.31
