id,SMILES,canon_SMILES,specific_rotation,specific_rotation_computed,weights,weights_signed,specific_rotation_computed_abs
2693607,[H][C@@](C)(CCCCCC)OC(=O)C1=CC=CC=C1,CCCCCC[C@@H](C)OC(=O)c1ccccc1,-33.0,-57.08,234.339,-234.339,57.08
2802804,[H][C@@](CO)(CC1=CC=CC=C1)N(C)C,CN(C)[C@H](CO)Cc1ccccc1,-17.0,36.19,179.263,179.263,36.19
2937193,[H][C@]1(CC(C)=O)[C@@]([H])(CC(=O)OC)C1(C)C,COC(=O)C[C@@H]1[C@H](CC(C)=O)C1(C)C,-21.7,110.44,198.26199999999997,198.26199999999997,110.44
2976336,COC(=O)[C@](C)(N)CC1=CC=C2C=CC=CC2=C1,COC(=O)[C@](C)(N)Cc1ccc2ccccc2c1,-30.3,-317.83,243.30600000000004,-243.30600000000004,317.83
3118129,O[C@@H]1CCCC[C@H]1NC1=CC=CC=C1,O[C@@H]1CCCC[C@H]1Nc1ccccc1,-72.7,-260.18,191.27400000000003,-191.27400000000003,260.18
3126377,CC1(C)[C@@H](CC(O)=O)CCC1=C,C=C1CC[C@H](CC(=O)O)C1(C)C,1.69,64.99,168.23599999999996,168.23599999999996,64.99
3126390,[H][C@](C)(CCCC(C)C)C1=CC=C(C)C=C1,Cc1ccc([C@@H](C)CCCC(C)C)cc1,25.2,26.75,204.357,204.357,26.75
3126437,CC1(C)[C@@H]2CC[C@@]1(C)[C@@](O)(CC#C)C2,C#CC[C@@]1(O)C[C@H]2CC[C@]1(C)C2(C)C,-3.6,7.98,192.30199999999996,192.30199999999996,7.98
3138117,[H][C@@](CO)(CC1=CC=CC=C1)NCC1=CC=CC=C1,OC[C@H](Cc1ccccc1)NCc1ccccc1,-23.8,-233.86,241.334,-241.334,233.86
3193875,[H][C@](C)(O)C1CCCCC1,C[C@@H](O)C1CCCCC1,-2.7,-54.69,128.215,-128.215,54.69
3195575,[H][C@](O)(CC=C)C1=CC=CC=C1,C=CC[C@H](O)c1ccccc1,-17.1,-118.31,148.20499999999998,-148.20499999999998,118.31
3195628,[H][C@@](C)(Br)CC1=CC=CC=C1,C[C@H](Br)Cc1ccccc1,16.3,6.73,199.09100000000004,199.09100000000004,6.73
3196267,CC1(C)[C@@H]2CC[C@@]1(C)[C@@](O)(CC=C)C2,C=CC[C@@]1(O)C[C@H]2CC[C@]1(C)C2(C)C,9.6,85.53,194.31799999999996,194.31799999999996,85.53
3196449,OC(=O)[C@@H]1C[C@H]2C[C@@H]1C=C2,O=C(O)[C@@H]1C[C@@H]2C=C[C@H]1C2,134.0,123.84,138.16599999999997,138.16599999999997,123.84
3196464,[H][C@@](C)(O)C1=C(OC)C=CC=C1,COc1ccccc1[C@H](C)O,-14.1,-139.43,152.19299999999998,-152.19299999999998,139.43
3196954,[H][C@@](O)(CC)CCC1=CC=CC=C1,CC[C@@H](O)CCc1ccccc1,-23.45,-133.65,164.24800000000002,-164.24800000000002,133.65
3198944,[H][C@@](C)(N(C)C)[C@@]([H])(O)C1=CC=CC=C1,C[C@@H]([C@@H](O)c1ccccc1)N(C)C,45.3,37.88,179.26299999999998,179.26299999999998,37.88
3202124,[H][C@@](O)(C1=CC=CC=C1)C1=CC=CC2=C1C=CC=C2,O[C@H](c1ccccc1)c1cccc2ccccc12,40.32,184.58,234.298,234.298,184.58
3202444,[H][C@](O)(C1=CC=CC=C1)C1=CC=C(OC)C=C1,COc1ccc([C@@H](O)c2ccccc2)cc1,-6.43,443.46,214.264,214.264,443.46
3204824,[H][C@](C)(OC1=CC=C(Cl)C=C1)C(=O)OCC,CCOC(=O)[C@@H](C)Oc1ccc(Cl)cc1,32.6,156.52,228.675,228.675,156.52
3537186,C[C@@H](O)C1=NC=CC=C1,C[C@@H](O)c1ccccn1,19.5,38.26,123.15499999999997,123.15499999999997,38.26
3538362,C[C@@H](CCO)CC\C=C(/C)CCC=C(C)C,CC(C)=CCC/C(C)=C/CC[C@@H](C)CCO,-26.4,-418.81,224.38799999999995,-224.38799999999995,418.81
3542667,CC(C)(C)OC(=O)N1CCC[C@H]1CO,CC(C)(C)OC(=O)N1CCC[C@H]1CO,-36.8,-10.9,201.26599999999996,-201.26599999999996,10.9
3545149,CC1(C)OC[C@H](O1)[C@@H](CO)N=N#N,CC1(C)OC[C@@H]([C@@H](CO)N=[N+]=[N-])O1,10.2,74.37,187.199,187.199,74.37
3549668,COC(=O)[C@@H]1CCCN1C(=O)OC(C)(C)C,COC(=O)[C@@H]1CCCN1C(=O)OC(C)(C)C,-54.3,-58.95,229.27599999999998,-229.27599999999998,58.95
3552683,O=C1C[C@@H](CC2=CC=C3OCOC3=C2)CO1,O=C1C[C@@H](Cc2ccc3c(c2)OCO3)CO1,46.8,-125.08,220.22399999999996,-220.22399999999996,125.08
3587898,C[C@H](O)C1=CC=CO1,C[C@H](O)c1ccco1,-7.69,56.4,112.12799999999997,112.12799999999997,56.4
3588145,CC1(C)OC[C@@H](O1)[C@@H]1O[C@H]1CO,CC1(C)OC[C@H]([C@@H]2O[C@H]2CO)O1,-19.5,-57.44,174.19599999999997,-174.19599999999997,57.44
3588203,C[C@H](CO[Si](C)(C)C(C)(C)C)C=O,C[C@@H](C=O)CO[Si](C)(C)C(C)(C)C,-33.5,-197.01,202.36999999999998,-202.36999999999998,197.01
3588594,C1CN[C@H](C1)C1=CC=CC=C1,c1ccc([C@H]2CCCN2)cc1,64.30000000000001,89.23,147.221,147.221,89.23
3588749,CCCCC[C@H](O)C1=CC=CO1,CCCCC[C@H](O)c1ccco1,-10.7,115.91,168.236,168.236,115.91
3588754,CC[C@H](O)C1=CC=CC=C1OC,CC[C@H](O)c1ccccc1OC,-14.4,-58.31,166.21999999999997,-166.21999999999997,58.31
3589112,CCC(=O)C[C@@H](C)C1=CC=CC=C1,CCC(=O)C[C@@H](C)c1ccccc1,-40.0,-173.53,176.25900000000001,-176.25900000000001,173.53
3589405,O[C@H](C1CCCCC1)C1=CC=CO1,O[C@@H](c1ccco1)C1CCCCC1,15.5,166.12,180.24699999999993,180.24699999999993,166.12
3591067,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,61.1,-16.69,230.26299999999998,-230.26299999999998,16.69
3591296,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)C=O,CC(C)(C)OC(=O)N[C@H](C=O)Cc1ccccc1,41.6,52.53,249.31,249.31,52.53
3591420,CC(C)(C)OC(=O)N1CCC[C@H]1\C=C/CO,CC(C)(C)OC(=O)N1CCC[C@H]1/C=C\CO,43.7,69.01,227.30399999999997,227.30399999999997,69.01
3592912,CC(=O)OC[C@H]1O[C@H](CC=C)C=C[C@@H]1OC(C)=O,C=CC[C@@H]1C=C[C@H](OC(C)=O)[C@@H](COC(C)=O)O1,78.9,184.88,254.28199999999993,254.28199999999993,184.88
3601189,OC[C@@H]1O[C@H]1C1CCCCC1,OC[C@@H]1O[C@H]1C1CCCCC1,-25.6,-105.29,156.22499999999997,-156.22499999999997,105.29
3601898,CO[C@@H](CC=C)C[C@H](O)CO,C=CC[C@@H](C[C@H](O)CO)OC,65.0,195.06,160.213,160.213,195.06
3603779,[H][C@@](Cl)(CO)CC1=CC=CC=C1,OC[C@@H](Cl)Cc1ccccc1,-18.2,-44.18,170.639,-170.639,44.18
3606512,C[C@@H](CC(=O)C=C(C)C)C1=CC=C(C)C=C1,CC(C)=CC(=O)C[C@H](C)c1ccc(C)cc1,60.3,325.41,216.324,216.324,325.41
3614875,O=C[C@@H]1CCCN1C(=O)OCC1=CC=CC=C1,O=C[C@@H]1CCCN1C(=O)OCc1ccccc1,-24.0,-219.3,233.26700000000002,-233.26700000000002,219.3
3647990,BrC[C@@H]1CCCO1,BrC[C@@H]1CCCO1,-9.4,-169.37,165.02999999999997,-165.02999999999997,169.37
3647994,C[C@@H]1CNCCN1,C[C@@H]1CNCCN1,-17.0,-11.1,100.165,-100.165,11.1
3648625,O[C@H](CC=C)C1CCCCC1,C=CC[C@@H](O)C1CCCCC1,2.9,-94.54,154.25299999999996,-154.25299999999996,94.54
3648741,CC[S@@](=O)C1=CC=CC=C1,CC[S@@](=O)c1ccccc1,262.0,491.51,154.23399999999998,154.23399999999998,491.51
3648959,O[C@@H]1CC=CC2=CC=CC=C12,O[C@@H]1CC=Cc2ccccc21,30.96,-58.06,146.18899999999996,-146.18899999999996,58.06
3648988,[H][C@@](O)(CCl)C1=CC=CC=C1,O[C@H](CCl)c1ccccc1,36.0,56.7,156.612,156.612,56.7
3649064,COC1=CC(=CC=C1)[C@@H](C)O,COc1cccc([C@@H](C)O)c1,18.8,73.14,152.19299999999998,152.19299999999998,73.14
3649226,CC(C)CC1=CC=C(C=C1)[C@H](C)O,CC(C)Cc1ccc([C@H](C)O)cc1,-27.6,-35.25,178.27499999999998,-178.27499999999998,35.25
3649445,O=C1CC[C@@H](O1)C1=CC=CC=C1,O=C1CC[C@H](c2ccccc2)O1,24.1,79.01,162.188,162.188,79.01
3649607,OC[C@@H]1O[C@H]1C1=CC=CC=C1,OC[C@@H]1O[C@H]1c1ccccc1,-54.0,16.81,150.177,150.177,16.81
3650249,BrC1=CC=C(C=C1)[C@H]1CCC(=O)O1,O=C1CC[C@H](c2ccc(Br)cc2)O1,16.5,43.63,241.08399999999997,241.08399999999997,43.63
3650269,O[C@H](CCCOCC1=CC=CC=C1)CC=C,C=CC[C@H](O)CCCOCc1ccccc1,7.7,235.63,220.312,220.312,235.63
3650700,COC1=CC=C(C=C1)[C@H]1CCC(=O)O1,COc1ccc([C@H]2CCC(=O)O2)cc1,3.1,-28.5,192.214,-192.214,28.5
3651197,COC(=O)C[C@H](C)SC1=CC=C(C)C=C1,COC(=O)C[C@H](C)Sc1ccc(C)cc1,26.9,-243.97,224.32500000000002,-224.32500000000002,243.97
3652004,[H][C@@](CO)(CC1=CC=CC=C1)NC(=O)OC(C)(C)C,CC(C)(C)OC(=O)N[C@H](CO)Cc1ccccc1,-22.6,-51.32,251.326,-251.326,51.32
4177659,[H][C@@]12C=CC(=O)[C@]1([H])[C@H]1C[C@@H]2C=C1,O=C1C=C[C@@H]2[C@H]1[C@@H]1C=C[C@H]2C1,-124.6,-26.12,146.18899999999996,-146.18899999999996,26.12
